"species","photoperiodism","cultivar","reference","notes","sensitivity_yn"
"Achillea_millifolium","ld","","laurie and poesch 1932","",TRUE
"Achyranthes_brilliantissima","na","","laurie and poesch 1932","",FALSE
"Aechma_fasciata","ld","","thomas and vince prue 1997","",TRUE
"Aeschyanthus_speciosus","ld","koral","roh 1991","day neutral at 18 degrees, long day at 24 degrees",TRUE
"Agrimonia_qupatoria","na","","thomas and vince prue 1997","",FALSE
"Agrostemma_githago","ld","","thomas and vince prue 1997","",TRUE
"Agrostis_alba","sd","","cooper and calder 1964","",TRUE
"Agrostis_canina","sd","","cooper and calder 1964","",TRUE
"Agrostis_capillaris","na","","heide 1994","",FALSE
"Agrostis_stolonifera","ld","","thomas and vince prue 1997","",TRUE
"Agrostis_tenuis","na","","cooper and calder 1964","",FALSE
"Aira_praecox","na","","cooper and calder 1964","",FALSE
"Allium_ampeloprasum","ld","","thomas and vince prue 1997","",TRUE
"Allium_cepa","na","","thomas and vince prue 1997","",FALSE
"Allium_chinensis","ld","","thomas and vince prue 1997","",TRUE
"Allium_sativum","sd","","thomas and vince prue 1997","",TRUE
"Allium_sphaerocephalon","ld","","thomas and vince prue 1997","",TRUE
"Allium_tuberosum","ld","","thomas and vince prue 1997","",TRUE
"Aloe_bulbeifera","lsd","","thomas and vince prue 1997","",TRUE
"Alopecurus_aequalis","ld","","wisskirchin 2006","",TRUE
"Alopecurus_agrestis","sd","","cooper and calder 1964","",TRUE
"Alopecurus_pratensis","sld","","thomas and vince prue 1997","",TRUE
"Alstoemeria_regina","ld","","thomas and vince prue 1997","",TRUE
"Amaranthis_retroflexus","sd","","thomas and vince prue 1997","",TRUE
"Amaranthus_caudatius_caudatus","sd","","thomas and vince prue 1997","",TRUE
"Amaranthus_caudatus_albiflorus","sd","","thomas and vince prue 1997","",TRUE
"Amaranthus_graecizans","sd","","thomas and vince prue 1997","",TRUE
"Amaranthus_hybridus","na","pygmy torch","mattson and erwin 2005","",FALSE
"Amaranthus_rudis","sd","","wu and owen 2014","",TRUE
"Amaranthus_tricolor","sd","","thomas and vince prue 1997","",TRUE
"Ambrosia_artemisiifolia","sd","","scalone et al 2016","",TRUE
"Ambrosia_elatior","sd","","thomas and vince prue 1997","",TRUE
"Ammi_majus","ld","","mattson and erwin 2005","",TRUE
"Anagallis_arvensis","ld","","thomas and vince prue 1997","",TRUE
"Anagallis_tenella","ld","","thomas and vince prue 1997","",TRUE
"Anansa_comosus","sd","","thomas and vince prue 1997","",TRUE
"Anchusa_capensis","ld","","armitage and garner 1999","",TRUE
"Andopogon_virginicus","sd","","thomas and vince prue 1997","",TRUE
"Andropogon_gayanus","sd","","thomas and vince prue 1997","",TRUE
"Androsacea_alpina","ld","","keller and korner 2003","",TRUE
"Anemone_coronaria","ld","","thomas and vince prue 1997","",TRUE
"Anethum_graveolens","ld","","thomas and vince prue 1997","",TRUE
"Anigosanthus_manglesii","sd","","thomas and vince prue 1997","",TRUE
"Anigozanthos_flavidus","ld","","thomas and vince prue 1997","",TRUE
"Anigozanthos_pulcherrimus","na","","thomas and vince prue 1997","",FALSE
"Anigozanthos_rufus","na","","thomas and vince prue 1997","",FALSE
"Anthemis_cotula","ld","","thomas and vince prue 1997","",TRUE
"Anthriscus_cerefolium","ld","","thomas and vince prue 1997","",TRUE
"Antirrhinum_majus","ld","","thomas and vince prue 1997","",TRUE
"Aphelandra_squarrosa","na","","thomas and vince prue 1997","",FALSE
"Apium_graveolens","na","","thomas and vince prue 1997","",FALSE
"Apium_graveolens_var_rapaceum","sd","","thomas and vince prue 1997","",TRUE
"Aquilegia_x_hybrida","ld","","thomas and vince prue 1997","",TRUE
"Arabidopsis_thaliana","ld","","minchniew 1965","",TRUE
"Arabis__blepharophylla","na","","armitage and garner 1999","",FALSE
"Arachis_hypogaea","na","","thomas and vince prue 1997","",FALSE
"Arctium_lappa","ld","","thomas and vince prue 1997","",TRUE
"Arenaria_serpyllifolia","ld","","thomas and vince prue 1997","",TRUE
"Aristeda_contorta","id","","thomas and vince prue 1997","",TRUE
"Arrhenatherum_elatius","na","","cooper and calder 1964","",FALSE
"Artriplex_prostrata","sd","","wisskirchin 2006","",TRUE
"Asclepias_tuberosa","na","","thomas and vince prue 1997","",FALSE
"Asparagus_plumosus","na","","laurie and poesch 1932","",FALSE
"Aspargus_sprengeri","na","","laurie and poesch 1932","",FALSE
"Asperula_arvensis","ld","blue mist","mattson and erwin 2005","",TRUE
"Aster_novi-belgii","lsd","","thomas and vince prue 1997","also kell et al 1997",TRUE
"Aster_pilosus","lsd","","thomas and vince prue 1997","",TRUE
"Aurina_saxatilis","ld","","thomas and vince prue 1997","",TRUE
"Avena_fastuosa","ld","","thomas and vince prue 1997","",TRUE
"Avena_sativa","ld","","thomas and vince prue 1997","",TRUE
"Baeria_chrysostoma","ld","","thomas and vince prue 1997","",TRUE
"Begonia_bowerae_x_chemantha","sd","","thomas and vince prue 1997","",TRUE
"Begonia_bowerae_x_hiemalis","sd","","thomas and vince prue 1997","",TRUE
"Beta_vulgaris","ld","","Lane et al 1965","",TRUE
"Beta_vulgaris_vulgaris","ld","","thomas and vince prue 1997","",TRUE
"Bidens_cernua","sd","","wisskirchin 2006","",TRUE
"Bidens_radiata","sd","","thomas and vince prue 1997","",TRUE
"Bidens_tripartita","sd","","wisskirchin 2006","",TRUE
"Blepharis_linearifolia","na","","thomas and vince prue 1997","",FALSE
"Blitum_capitatum","ld","","thomas and vince prue 1997","",TRUE
"Blitum_virgatum","ld","","thomas and vince prue 1997","",TRUE
"Bothriochloa_mutica","sd","","thomas and vince prue 1997","",TRUE
"Bougainvillea_glabra","sd","","garner and allard 1923","",TRUE
"Bouteloua_eripoda","sd","","thomas and vince prue 1997","",TRUE
"Bouvardia","sd","","thomas and vince prue 1997","",TRUE
"Brachiaria_ruziziensis","sd","","thomas and vince prue 1997","",TRUE
"Brachypodium_pinnatum","na","","cooper and calder 1964","",FALSE
"Brachypodium_sylvaticum","na","","cooper and calder 1964","",FALSE
"Brassavola_nodosa","sd","","thomas and vince prue 1997","",TRUE
"Brassica_alba","ld","","thomas and vince prue 1997","",TRUE
"Brassica_campestris_oleifera","ld","","thomas and vince prue 1997","",TRUE
"Brassica_carinata","ld","","thomas and vince prue 1997","",TRUE
"Brassica_juncea","ld","","thomas and vince prue 1997","",TRUE
"Brassica_napus_oleifera","ld","","thomas and vince prue 1997","",TRUE
"Brassica_nigra","ld","","thomas and vince prue 1997","",TRUE
"Brassica_pekinensis","ld","","thomas and vince prue 1997","",TRUE
"Brassica_spp","na","","thomas and vince prue 1997","",FALSE
"Briza_media","na","","cooper and calder 1964","",FALSE
"Bromis_inermis_dactylis_glomerata","sld","","thomas and vince prue 1997","",TRUE
"Bromus_erectus","sd","","cooper and calder 1964","",TRUE
"Bromus_inermis","sd","","heide 1994","",TRUE
"Bromus_racemosus","na","","cooper and calder 1964","",FALSE
"Bromus_rubens","na","","cooper and calder 1964","",FALSE
"Bromus_secalinus","na","","cooper and calder 1964","",FALSE
"Browallia_speciosa","na","","thomas and vince prue 1997","",FALSE
"Brunsfelsia_pauciflora","na","","thomas and vince prue 1997","",FALSE
"Cajunus_cajan","sd","","thomas and vince prue 1997","",TRUE
"Calamintha_acinus","ld","","thomas and vince prue 1997","from wareing book",TRUE
"Calathea_crocata","sd","","thomas and vince prue 1997","from wareing book",TRUE
"Calceolaria_hybrida","ld","","laurie and poesch 1932","from wareing book",TRUE
"Calendula_officinalis","ld","","laurie and poesch 1932","",TRUE
"Calibrachoa_calycina","ld","","kanaya 2010","calibrachoa cultivars act slightly differently to the natural plants",TRUE
"Calibrachoa_eglandulata","ld","","kanaya 2010","",TRUE
"Calibrachoa_elegans","ld","","kanaya 2010","",TRUE
"Calibrachoa_ericaefolia","ld","","kanaya 2010","",TRUE
"Calibrachoa_heterophylla","ld","","kanaya 2010","",TRUE
"Calibrachoa_linearis","ld","","kanaya 2010","",TRUE
"Calibrachoa_linoides","ld","","kanaya 2010","",TRUE
"Calibrachoa_macrodactylon","ld","","kanaya 2010","",TRUE
"Calibrachoa_micrantha","ld","","kanaya 2010","",TRUE
"Calibrachoa_rupestris","ld","","kanaya 2010","",TRUE
"Calibrachoa_selloviana","ld","","kanaya 2010","",TRUE
"Calibrachoa_sendtneriana","ld","","kanaya 2010","",TRUE
"Calibrachoa_serrulata","ld","","kanaya 2010","",TRUE
"Calibrachoa_spathulata","ld","","kanaya 2010","",TRUE
"Calibrachoa_thymifolia","ld","","kanaya 2010","",TRUE
"Callistephus_chinesis","ld","","thomas and vince prue 1997","",TRUE
"Callistephus_hortensis","ld","","laurie and poesch 1932","",TRUE
"Calluna_vulgaris","ld","","chouard 1946","",TRUE
"Calonyction_aculeatum","sd","","garner and allard 1923","",TRUE
"Calytrix_fraseri","ld","","king et al 2008","",TRUE
"Camellia_japonica","ld","","thomas and vince prue 1997","",TRUE
"Camellia_wabisuke","sd","","gou et al 1993","",TRUE
"Campanula_alliariifolia","ld","","thomas and vince prue 1997","",TRUE
"Campanula_carpatica","ld","","runkle et al 1998","",TRUE
"Campanula_fragilis","ld","","thomas and vince prue 1997","",TRUE
"Campanula_isophylla","ld","","thomas and vince prue 1997","",TRUE
"Campanula_medium","sld","","thomas and vince prue 1997","",TRUE
"Campanula_persicifolia_c","ld","","thomas and vince prue 1997","",TRUE
"Campanula_pyramidalis","ld","","thomas and vince prue 1997","",TRUE
"Campanulaisophylla_moretti","ld","","moe 1990","",TRUE
"Cannibis_sativa","yes","","heslop-harrison 1960","",TRUE
"Cantanache_caerulea","ld","","armitage and garner 1999","",TRUE
"Capsicum_annuum","id","","thomas and vince prue 1997","",TRUE
"Cardamine_amara","na","","thomas and vince prue 1997","",FALSE
"Carex_arctogena","na","","heide 2002","sd under high temperature",FALSE
"Carex_canescens","na","","heide 2002","norwegian population, australian and chilean population are sd",FALSE
"Carex_curvula","na","","keller and korner 2003","",FALSE
"Carex_echinata","sd","","heide 2002","australian and norwegian population",TRUE
"Carex_lachenalii","na","","heide 2002","sd under high temperature",FALSE
"Carex_maclowiana","na","","heide 2002","sd under high temperature",FALSE
"Carex_magellanica","na","","heide 2002","sd under high temperature",FALSE
"Carex_maritima","na","","heide 2002","sd under high temperature",FALSE
"Carex_paupercula","na","","heide 2002","sd under high temperature",FALSE
"Carica_papaya","na","","thomas and vince prue 1997","",FALSE
"Carmpanula_medium","sd","","Wellensiek 1985","",TRUE
"Carpanthea_pomeridiana","na","golden carpet","mattson and erwin 2005","",FALSE
"Caryopteris_incana","sd","","thomas and vince prue 1997","",TRUE
"Caryopteris_mastacanthus","ld","","chouard 1946","",TRUE
"Catanche_caerula","ld","blue","mattson and erwin 2005","",TRUE
"Catharanthus_roseus","sd","","thomas and vince prue 1997","",TRUE
"Celosia_cristata","sd","cockscomb cv bombay","baloch et al 2013","",TRUE
"Centaurea_cyanus","na","blue boy","mattson and erwin 2005","",FALSE
"Centaurea_imerialis","ld","","laurie and poesch 1932","",TRUE
"Centaurea_suaveolens","ld","","laurie and poesch 1932","",TRUE
"Centranthus_macrosiphon","na","","mattson and erwin 2005","",FALSE
"Cerastium_regelii","sd","hybrid","heide 1990","",TRUE
"Cerastium_uniflorum_","na","","keller and korner 2003","",FALSE
"Ceratochloa_unioloides","na","","cooper and calder 1964","",FALSE
"Cestrum_diurnum","sd","","thomas and vince prue 1997","",TRUE
"Cestrum_elegans","na","","thomas and vince prue 1997","",FALSE
"Cestrum_nocturnum","sld","","sachs 1956","",TRUE
"Chamaelaucium_uncianatum","sd","","thomas and vince prue 1997","",TRUE
"Chamecyparis_obtusa","ld","","thomas and vince prue 1997","",TRUE
"Chamelaucium_uncinatum","sd","","shillo et al 1985","",TRUE
"Cheiranthus_allionii","ld","","thomas and vince prue 1997","",TRUE
"Cheiranthus_cheiri","ld","","thomas and vince prue 1997","",TRUE
"Chenopodium_album","sd","","thomas and vince prue 1997","",TRUE
"Chenopodium_amaranticolor","sd","","schwabe 1960","some lines",TRUE
"Chenopodium_aristatum","sd","","thomas and vince prue 1997","",TRUE
"Chenopodium_ficfolium","na","","wisskirchin 2006","",FALSE
"Chenopodium_foetidum","na","","thomas and vince prue 1997","",FALSE
"Chenopodium_glaucum","sd","","wisskirchin 2006","",TRUE
"Chenopodium_glaucum_x_rubrum","sd","","wisskirchin 2006","",TRUE
"Chenopodium_murale","ld","","thomas and vince prue 1997","",TRUE
"Chenopodium_polyspermum","sd","","thomas and vince prue 1997","",TRUE
"Chenopodium_rubrum","sd","","teltscherova and krekule 1966","",TRUE
"Chrysanthemum_coccineum","ld","","laurie and poesch 1932","",TRUE
"Chrysanthemum_indicum","sd","","laurie and poesch 1932","",TRUE
"Chrysanthemum_leucanthemum","ld","","thomas and vince prue 1997","",TRUE
"Chrysanthemum_maximum","ld","","laurie and poesch 1932","",TRUE
"Chrysanthemum_morifolium","sd","","laurie and poesch 1932","",TRUE
"Chrysanthemum_purpureum","ld","","laurie and poesch 1932","",TRUE
"Chrysanthemum_segetum","ld","","laurie and poesch 1932","",TRUE
"Chrysanthemum_superbum","ld","","thomas and vince prue 1997","",TRUE
"Chtysanthemum_coronarium","ld","","laurie and poesch 1932","",TRUE
"Cicer_arietinum","ld","","thomas and vince prue 1997","",TRUE
"Cichorium_intybus","ld","","thomas and vince prue 1997","",TRUE
"Cicorium_intybus","ld","","thomas and vince prue 1997","",TRUE
"Cigna_radiata","sd","","thomas and vince prue 1997","",TRUE
"Cineraria_multiflora","ld","","laurie and poesch 1932","",TRUE
"Cineraria_stellata","ld","","laurie and poesch 1932","",TRUE
"Cleome_hasslerana","na","rose queen","mattson and erwin 2005","",FALSE
"Cleome_hassleriana","ld","","thomas and vince prue 1997","",TRUE
"Clerodendrum_speciosim","sd","","thomas and vince prue 1997","",TRUE
"Cobea_scandens","na","white","mattson and erwin 2005","",FALSE
"Coelus_blumei","na","","thomas and vince prue 1997","",FALSE
"Coelus_fredericii","sd","","thomas and vince prue 1997","",TRUE
"Coelus_lanuginosus","ld","","thomas and vince prue 1997","",TRUE
"Coffea_arabica","sd","red","thomas and vince prue 1997","",TRUE
"Colchicum_tunicatum","sd","","thomas and vince prue 1997","",TRUE
"Coleonema_aspalathoides","sd","","heller et al 1994","",TRUE
"Coleus_blumei","ld","","thomas and vince prue 1997","",TRUE
"Collinsia_heterophylla","ld","","mattson and erwin 2005","",TRUE
"Convolulus_sepium","ld","","garner and allard 1923","",TRUE
"Convolulus_tricolor","ld","","garner and allard 1923","",TRUE
"Corchorus_capsularis","sd","","thomas and vince prue 1997","",TRUE
"Corchorus_olitorius","sd","","thomas and vince prue 1997","",TRUE
"Coreopsis_grandiflora","sld","","thomas and vince prue 1997","",TRUE
"Coreopsis_lanceolata","ld","early sunrise","damann and lyons 1993","",TRUE
"Coreopsis_tinctoria","ld","","laurie and poesch 1932","",TRUE
"Coreopsis_verticillata","ld","","runkle et al 1998","",TRUE
"Coreposis_grandiflira","ld","","laurie and poesch 1932","",TRUE
"Coreposis_grandiflora","na","sunray","damann and lyons 1993","",FALSE
"Coreposis_grandiflora_var_stellaris","ld","","runkle et al 1998","",TRUE
"Coriandrum_sativum","ld","","thomas and vince prue 1997","",TRUE
"Cornus_florida","na","","thomas and vince prue 1997","",FALSE
"Cosmos_bipinnatus","sd","","withrow and biebel 1936","",TRUE
"Cosmos_sulphureus","sd","","garner and allard 1923","",TRUE
"Couteloua_curtipendula","id","","thomas and vince prue 1997","",TRUE
"Crowea_exalata","na","bindelong compac","king et al 2008","crowea responds to light intensity instead of photoperiod",FALSE
"Cryptomeria_japonica","na","","thomas and vince prue 1997","",FALSE
"Cuclamen_persicum","na","","laurie and poesch 1932","",FALSE
"Cucumis_hardwickii","sd","","thomas and vince prue 1997","",TRUE
"Cucumis_melo","na","","thomas and vince prue 1997","",FALSE
"Cucumis_sativus","na","","thomas and vince prue 1997","",FALSE
"Cupressus_arizonica","na","","thomas and vince prue 1997","",FALSE
"Cyclamen_persicum","na","","thomas and vince prue 1997","",FALSE
"Cynara_scolymus","ld","","thomas and vince prue 1997","",TRUE
"Cynodon_dactlyon","ld","","thomas and vince prue 1997","",TRUE
"Cynodon_dactylon","ld","","thomas and vince prue 1997","",TRUE
"Cynoglossum_amabile","ld","","laurie and poesch 1932","",TRUE
"Cynosurus_cristatus","na","","cooper and calder 1964","",FALSE
"Cyperus_esculentus","id","","thomas and vince prue 1997","",TRUE
"Cyperus_rotundus","id","","thomas and vince prue 1997","",TRUE
"Dactylis_glomerata","ld","","thomas and vince prue 1997","",TRUE
"Dalea_foliosa","ld","some hybrids","baskin and baskin 1998","",TRUE
"Datura_stramonium","sd","","thomas and vince prue 1997","",TRUE
"Daucus_carota","na","","thomas and vince prue 1997","",FALSE
"Delphinium_ajacis","ld","","thomas and vince prue 1997","",TRUE
"Delphinium_elatum","ld","","thomas and vince prue 1997","",TRUE
"Delphinium_hybridum","ld","","laurie and poesch 1932","",TRUE
"Dendranthema_grandiflora","sd","","thomas and vince prue 1997","",TRUE
"Deschampsia_alpina","yes","","heide 1994","",TRUE
"Deschampsia_caespitosa","yes","","heide 1994","",TRUE
"Deschampsia_cespitosa","ld","","thomas and vince prue 1997","",TRUE
"Deschampsia_flexuosa","yes","","heide 1994","",TRUE
"Desmondium_intortum","sd","","thomas and vince prue 1997","",TRUE
"Desmondium_tortousum","sd","","thomas and vince prue 1997","",TRUE
"Dianthis_caryophyllus","ld","","thomas and vince prue 1997","",TRUE
"Dianthus_arenarius","ld","","thomas and vince prue 1997","",TRUE
"Dianthus_barbatus","na","","thomas and vince prue 1997","",FALSE
"Dianthus_carthusianorum","ld","","thomas and vince prue 1997","",TRUE
"Dianthus_carypohyllus","na","","laurie and poesch 1932","",FALSE
"Dianthus_gracilis","ld","","thomas and vince prue 1997","",TRUE
"Dianthus_graniticus","ld","","thomas and vince prue 1997","",TRUE
"Dianthus_japonicus","na","","takeda 1996","",FALSE
"Dianthus_mikadonadeshiko","ld","","takeda 1996","na if not vernalized",TRUE
"Dianthus_superbus","na","var longicalicinus green","takeda 1996","",FALSE
"Dicentra_spectabilis","ld","","thomas and vince prue 1997","",TRUE
"Dichondra_repens","na","","thomas and vince prue 1997","",FALSE
"Didiscus_caerulea","ld","","laurie and poesch 1932","",TRUE
"Digitaalis_lanata","na","","thomas and vince prue 1997","",FALSE
"Digitalis_pirpurea","na","","laurie and poesch 1932","",FALSE
"Digitalis_purpurea","ld","","thomas and vince prue 1997","",TRUE
"Dimorphotheca_aurantiaca","ld","","laurie and poesch 1932","",TRUE
"Dimorphotheca_sinuata","na","mixed colors","mattson and erwin 2005","",FALSE
"Dinanthus_superbus","ld","","thomas and vince prue 1997","",TRUE
"Dolichos_biflorus","sd","kulthi bean","garner and allard 1923","",TRUE
"Dolichos_lablab","sd","","mattson and erwin 2005","",TRUE
"Draba_aizoides","na","","thomas and vince prue 1997","",FALSE
"Draba_hispanica","na","","thomas and vince prue 1997","",FALSE
"Echeveria_carnicolor","sd","","thomas and vince prue 1997","",TRUE
"Echeveria_derenbergii","sd","","thomas and vince prue 1997","",TRUE
"Echeveria_elegans","sd","","thomas and vince prue 1997","",TRUE
"Echeveria_harmsii","sld","","thomas and vince prue 1997","",TRUE
"Echeveria_setosa","sld","","thomas and vince prue 1997","",TRUE
"Echinacea_purpurea","sld","","heide 2004","",TRUE
"Elynya_myosuroides","na","","keller and korner 2003","",FALSE
"Epilobium_adenocaulon","ld","","thomas and vince prue 1997","",TRUE
"Epilobium_parviflorum","ld","","thomas and vince prue 1997","",TRUE
"Erigeron_uniflorum","yes","","keller and korner 2003","",TRUE
"Erlangea_tomentosa","na","","laurie and poesch 1932","",FALSE
"Eryngium_variifolium","na","","thomas and vince prue 1997","",FALSE
"Erysinum_perofskianum","na","","laurie and poesch 1932","",FALSE
"Escheveria_gracilis","ld","","thomas and vince prue 1997","",TRUE
"Escheveria_peacockii","ld","","thomas and vince prue 1997","",TRUE
"Escholtzia_californica","ld","","thomas and vince prue 1997","",TRUE
"Eschscholzia_californica","ld","sundew","mattson and erwin 2005","",TRUE
"Eucharis_grandiflora","na","","thomas and vince prue 1997","",FALSE
"Euphorbia_fulgens","sd","","thomas and vince prue 1997","",TRUE
"Euphorbia_heterophylla","sd","","garner and allard 1923","early flowering, but no viable seed!",TRUE
"Euphorbia_lathyris","na","","thomas and vince prue 1997","",FALSE
"Euphorbia_millii","sd","","thomas and vince prue 1997","",TRUE
"Euphorbia_pulcherrima","sd","","laurie and poesch 1932","",TRUE
"Eustoma_grandiflorum","na","","zaccai and edri 2002","vernalisation requirement",FALSE
"Fagophylum_tataricum","na","","thomas and vince prue 1997","",FALSE
"Fagopyrum_esculentum","na","","thomas and vince prue 1997","",FALSE
"Festuca_af._intercedens","ld","","keller and korner 2003","",TRUE
"Festuca_arundinacea","ld","","thomas and vince prue 1997","",TRUE
"Festuca_gigantea","na","","cooper and calder 1964","",FALSE
"Festuca_ovina","na","","cooper and calder 1964","",FALSE
"Festuca_pratensis","na","","cooper and calder 1964","",FALSE
"Festuca_rubra","na","","bommer 1961","ref",FALSE
"Festuca_vivpara","na","","heide 1994","",FALSE
"Foeniculum_vulgare","ld","","thomas and vince prue 1997","",TRUE
"Fragaria_x_ananassa","na","","thomas and vince prue 1997","",FALSE
"Fragaria_x_vesca_semperflorens","na","","thomas and vince prue 1997","",FALSE
"Freesia_hybrida","sd","sunshine","laurie and poesch 1932","",TRUE
"Fuschia_hybrida","ld","","thomas and vince prue 1997","",TRUE
"Gaillardia_grandiflora","ld","","laurie and poesch 1932","",TRUE
"Gardenia_jasminoides","sd","","thomas and vince prue 1997","",TRUE
"Gentiana_bavarica","na","","keller and korner 2003","",FALSE
"Geum_bulgaricum","na","","thomas and vince prue 1997","",FALSE
"Geum_canadense","na","","thomas and vince prue 1997","",FALSE
"Geum_macrophyllum","na","","thomas and vince prue 1997","",FALSE
"Geum_reptans","na","","keller and korner 2003","",FALSE
"Geum_urbanum","na","","thomas and vince prue 1997","",FALSE
"Geum_x_intermedium","na","","thomas and vince prue 1997","",FALSE
"Gladiolus_grandiflorus","sd","","thomas and vince prue 1997","",TRUE
"Glycine_max","sd","biloxi soybean","thomas and vince prue 1997","",TRUE
"Gnaphalium_supium","ld","","keller and korner 2003","",TRUE
"Gossypium_hirsutum","na","","thomas and vince prue 1997","",FALSE
"Guzmania_monostachys","na","","thomas and vince prue 1997","",FALSE
"Gypsophila_paniculata","ld","","thomas and vince prue 1997","",TRUE
"Gypsophila_repens","ld","","armitage and garner 1999","",TRUE
"Gysophila_elegans","ld","","laurie and poesch 1932","",TRUE
"Hamelia_patens","ld","","armitage 1995","",TRUE
"Hardengergia_violaceae","sd","","king 1998","",TRUE
"Helianthus","sd","sunflower cv elf","baloch et al 2013","",TRUE
"Helianthus_angustifolius","sd","","garner and allard 1923","",TRUE
"Helianthus_annus","ld","vanilla ice","mattson and erwin 2005","",TRUE
"Helianthus_annuus","sd","","thomas and vince prue 1997","",TRUE
"Helianthus_cucumerifolius","ld","var syriacum","withrow and biebel 1936","",TRUE
"Helianthus_giganteus","sd","","garner and allard 1923","",TRUE
"Helianthus_tuberosus","sd","","thomas and vince prue 1997","",TRUE
"Helichrysum_cassinianum","ld","","thomas and vince prue 1997","",TRUE
"Helicona_stricta","sd","","criley 1986","",TRUE
"Heliconia_wagneriana","sd","","criley 1997","",TRUE
"Helicornia_brasiliensis","sd","","thomas and vince prue 1997","",TRUE
"Helicornia_stricta","sd","","thomas and vince prue 1997","",TRUE
"Helipterum_craspedioides","ld","","thomas and vince prue 1997","",TRUE
"Hemerocallis_fulva","ld","","thomas and vince prue 1997","",TRUE
"Hibiscus_acetosella","sd","","warner and erwin 2001","",TRUE
"Hibiscus_aculeatus","ld","","warner and erwin 2001","",TRUE
"Hibiscus_asper","sd","","warner and erwin 2001","",TRUE
"Hibiscus_calyphyllus","na","","warner and erwin 2001","",FALSE
"Hibiscus_cannabinus","sd","","thomas and vince prue 1997","",TRUE
"Hibiscus_cisplatinus","na","","warner and erwin 2001","",FALSE
"Hibiscus_costatus","na","","warner and erwin 2001","",FALSE
"Hibiscus_engleri","sd","","warner and erwin 2001","",TRUE
"Hibiscus_esculentus","sd","","thomas and vince prue 1997","",TRUE
"Hibiscus_laevis","ld","","warner and erwin 2001","",TRUE
"Hibiscus_lunariifolius","na","","warner and erwin 2001","",FALSE
"Hibiscus_mastersianus","sd","","warner and erwin 2001","",TRUE
"Hibiscus_meeusei","sd","","warner and erwin 2001","",TRUE
"Hibiscus_meraukensis","na","","warner and erwin 2001","",FALSE
"Hibiscus_moscheutos","ld","","runkle et al 1998","",TRUE
"Hibiscus_nigricaulis","sd","","warner and erwin 2001","",TRUE
"Hibiscus_physaloides","sd","","warner and erwin 2001","",TRUE
"Hibiscus_radiatus","sd","","warner and erwin 2001","",TRUE
"Hibiscus_rosa-sinensis","na","","thomas and vince prue 1997","",FALSE
"Hibiscus_sabdariffa","sd","","garner and allard 1923","",TRUE
"Hibiscus_schinzii","sd","","warner and erwin 2001","",TRUE
"Hibiscus_surattensis","sd","","warner and erwin 2001","",TRUE
"Hibiscus_syriacus","ld","","garner and allard 1923","",TRUE
"Hibiscus_trionum","ld","","warner and erwin 2001","",TRUE
"Hieraceum_floribundum","ld","","thomas and vince prue 1997","",TRUE
"Hildegardia_barteri","sd","","thomas and vince prue 1997","",TRUE
"Holcus_halapensis","sd","","garner and allard 1923","shows flowering requirement differences based on point of origin",TRUE
"Holcus_lanatus","na","","cooper and calder 1964","",FALSE
"Holcus_sudanensis","sd","","thomas and vince prue 1997","",TRUE
"Hordenum_marinum","na","","cooper and calder 1964","",FALSE
"Hordeum_bulbosum","sld","","thomas and vince prue 1997","",TRUE
"Hordeum_vulgare","ld","","Lane et al 1965","",TRUE
"Hululus_japonicus","sd","","thomas and vince prue 1997","",TRUE
"Humulus_lupulus","sd","","thomas and vince prue 1997","",TRUE
"Hunnemannia_fumariaefolia","ld","","laurie and poesch 1932","",TRUE
"Hyacinth_orientalis","na","","laurie and poesch 1932","",FALSE
"Hyaparrhenia_rufa","sd","","thomas and vince prue 1997","",TRUE
"Hydrangea_hortensis","ld","","laurie and poesch 1932","",TRUE
