species,year,doy,source
Abutilon theophrasti,2010,180,craine_2010
Acalypha ostryifolia,2010,166,craine_2010
Acalypha virginica,2010,194,craine_2010
Achillea millefolium,2010,117,craine_2010
Aegilops cylindrica,2010,141,craine_2010
Agalinis aspera,2010,243,craine_2010
Agalinis densiflora,2010,232,craine_2010
Agastache nepetoides,2010,242,craine_2010
Ageratina altissima,2010,221,craine_2010
Agrimonia pubescens,2010,182,craine_2010
Agrostis hyemalis,2010,133,craine_2010
Alisma subcordatum,2010,180,craine_2010
Alliaria petiolata,2010,104,craine_2010
Allium canadense,2010,133,craine_2010
Allium stellatum,2010,238,craine_2010
Alopecurus carolinianus,2010,126,craine_2010
Amaranthus palmeri,2010,196,craine_2010
Amaranthus tuberculatus,2010,223,craine_2010
Ambrosia artemisiifolia,2010,190,craine_2010
Ambrosia psilostachya,2010,194,craine_2010
Ambrosia trifida,2010,221,craine_2010
Ammannia coccinea,2010,195,craine_2010
Amorpha canescens,2010,153,craine_2010
Amphiachyris dracunculoides,2010,211,craine_2010
Amphicarpaea bracteata,2010,231,craine_2010
Andropogon gerardii,2010,190,craine_2010
Androsace occidentalis,2010,93,craine_2010
Anemone caroliniana,2010,103,craine_2010
Anemone virginiana,2010,179,craine_2010
Antennaria neglecta,2010,91,craine_2010
Apocynum cannabinum,2010,147,craine_2010
Arabis hirsuta,2010,125,craine_2010
Arctium minus,2010,189,craine_2010
Arenaria serpyllifolia,2010,127,craine_2010
Argemone polyanthemos,2010,155,craine_2010
Aristida oligantha,2010,207,craine_2010
Aristida purpurea,2010,158,craine_2010
Arnoglossum plantagineum,2010,153,craine_2010
Artemisia ludoviciana,2010,236,craine_2010
Asclepias stenophylla,2010,158,craine_2010
Asclepias sullivantii,2010,155,craine_2010
Asclepias syriaca,2010,152,craine_2010
Asclepias tuberosa,2010,148,craine_2010
Asclepias verticillata,2010,175,craine_2010
Asclepias viridiflora,2010,179,craine_2010
Asclepias viridis,2010,127,craine_2010
Astragalus canadensis,2010,197,craine_2010
Astragalus crassicarpus,2010,93,craine_2010
Astragalus lotiflorus,2010,106,craine_2010
Bacopa rotundifolia,2010,200,craine_2010
Baptisia australis,2010,116,craine_2010
Baptisia bracteata,2010,106,craine_2010
Bassia scoparia,2010,270,craine_2010
Bidens bipinnata,2010,232,craine_2010
Bidens frondosa,2010,242,craine_2010
Bothriochloa bladhii,2010,173,craine_2010
Bothriochloa ischaemum,2010,180,craine_2010
Bothriochloa laguroides,2010,173,craine_2010
Bouteloua curtipendula,2010,179,craine_2010
Bouteloua dactyloides,2010,117,craine_2010
Bouteloua gracilis,2010,190,craine_2010
Bouteloua hirsuta,2010,188,craine_2010
Brickellia eupatorioides,2010,179,craine_2010
Bromus arvensis,2010,118,craine_2010
Bromus inermis,2010,124,craine_2010
Bromus pubescens,2010,139,craine_2010
Bromus tectorum,2010,126,craine_2010
Buglossoides arvensis,2010,106,craine_2010
Callirhoe alcaeoides,2010,126,craine_2010
Callirhoe involucrata,2010,124,craine_2010
Calylophus serrulatus,2010,141,craine_2010
Calystegia macounii,2010,130,craine_2010
Camelina microcarpa,2010,137,craine_2010
Campanulastrum americanum,2010,190,craine_2010
Cannabis sativa,2010,189,craine_2010
Capsella bursa-pastoris,2010,98,craine_2010
Carduus nutans,2010,176,craine_2010
Carex albicans,2010,97,craine_2010
Carex austrina,2010,118,craine_2010
Carex blanda,2010,117,craine_2010
Carex brevior,2010,123,craine_2010
Carex emoryi,2010,118,craine_2010
Carex gravida,2010,116,craine_2010
Carex grisea,2010,117,craine_2010
Carex hystericina,2010,141,craine_2010
Carex inops,2010,91,craine_2010
Carex meadii,2010,97,craine_2010
Carex pellita,2010,125,craine_2010
Carex vulpinoidea,2010,133,craine_2010
Cenchrus longispinus,2010,176,craine_2010
Chaerophyllum procumbens,2010,127,craine_2010
Chaerophyllum tainturieri,2010,139,craine_2010
Chamaecrista fasciculata,2010,176,craine_2010
Chamaesyce glyptosperma,2010,197,craine_2010
Chamaesyce maculata,2010,189,craine_2010
Chamaesyce missurica,2010,221,craine_2010
Chamaesyce nutans,2010,190,craine_2010
Chamaesyce serpens,2010,189,craine_2010
Chenopodium berlandieri,2010,166,craine_2010
Chenopodium simplex,2010,202,craine_2010
Chloris verticillata,2010,152,craine_2010
Chorispora tenella,2010,103,craine_2010
Cichorium intybus,2010,176,craine_2010
Cirsium altissimum,2010,216,craine_2010
Cirsium undulatum,2010,166,craine_2010
Comandra umbellata,2010,105,craine_2010
Commelina erecta,2010,176,craine_2010
Conium maculatum,2010,142,craine_2010
Convolvulus arvensis,2010,130,craine_2010
Conyza canadensis,2010,200,craine_2010
Corydalis micrantha,2010,96,craine_2010
Croton capitatus,2010,238,craine_2010
Croton monanthogynus,2010,180,craine_2010
Cucurbita foetidissima,2010,165,craine_2010
Cuscuta glomerata,2010,208,craine_2010
Cuscuta indecora,2010,231,craine_2010
Cynanchum laeve,2010,207,craine_2010
Cynanchum louiseae,2010,145,craine_2010
Cynodon dactylon,2010,180,craine_2010
Cyperus acuminatus,2010,173,craine_2010
Cyperus lupulinus,2010,147,craine_2010
Cyperus odoratus,2010,196,craine_2010
Dactylis glomerata,2010,127,craine_2010
Dalea aurea,2010,179,craine_2010
Dalea candida,2010,165,craine_2010
Dalea leporina,2010,221,craine_2010
Dalea multiflora,2010,189,craine_2010
Dalea purpurea,2010,161,craine_2010
Datura stramonium,2010,176,craine_2010
Delphinium carolinianum,2010,139,craine_2010
Descurainia pinnata,2010,94,craine_2010
Descurainia sophia,2010,146,craine_2010
Desmanthus illinoensis,2010,158,craine_2010
Desmodium canescens,2010,209,craine_2010
Desmodium glutinosum,2010,161,craine_2010
Desmodium illinoense,2010,155,craine_2010
Desmodium paniculatum,2010,203,craine_2010
Desmodium sessilifolium,2010,221,craine_2010
Dianthus armeria,2010,152,craine_2010
Diarrhena obovata,2010,179,craine_2010
Dicentra cucullaria,2010,94,craine_2010
Dichanthelium acuminatum,2010,145,craine_2010
Dichanthelium oligosanthes,2010,130,craine_2010
Digitaria cognata,2010,152,craine_2010
Digitaria sanguinalis,2010,176,craine_2010
Draba brachycarpa,2010,92,craine_2010
Draba cuneifolia,2010,96,craine_2010
Draba reptans,2010,92,craine_2010
Dracopis amplexicaulis,2010,179,craine_2010
Dyssodia papposa,2010,160,craine_2010
Echinacea angustifolia,2010,149,craine_2010
Echinochloa muricata,2010,161,craine_2010
Eclipta prostrata,2010,245,craine_2010
Eleusine indica,2010,176,craine_2010
Ellisia nyctelea,2010,124,craine_2010
Elymus canadensis,2010,152,craine_2010
Elymus virginicus,2010,152,craine_2010
Epilobium coloratum,2010,242,craine_2010
Equisetum laevigatum,2010,147,craine_2010
Eragrostis cilianensis,2010,166,craine_2010
Eragrostis pectinacea,2010,189,craine_2010
Eragrostis spectabilis,2010,206,craine_2010
Erechtites hieraciifolia,2010,236,craine_2010
Erigeron annuus,2010,130,craine_2010
Erigeron philadelphicus,2010,119,craine_2010
Erigeron strigosus,2010,131,craine_2010
Eriochloa contracta,2010,176,craine_2010
Erysimum repandum,2010,96,craine_2010
Escobaria missouriensis,2010,138,craine_2010
Eupatorium altissimum,2010,197,craine_2010
Euphorbia corollata,2010,182,craine_2010
Euphorbia cyathophora,2010,221,craine_2010
Euphorbia dentata,2010,180,craine_2010
Euphorbia marginata,2010,195,craine_2010
Euphorbia spathulata,2010,158,craine_2010
Euthamia gymnospermoides,2010,252,craine_2010
Evolvulus nuttallianus,2010,142,craine_2010
Festuca subverticillata,2010,126,craine_2010
Fuirena simplex,2010,190,craine_2010
Galium aparine,2010,125,craine_2010
Galium circaezans,2010,153,craine_2010
Galium triflorum,2010,180,craine_2010
Gaura longiflora,2010,246,craine_2010
Gaura mollis,2010,161,craine_2010
Gentiana puberulenta,2010,278,craine_2010
Geranium carolinianum,2010,162,craine_2010
Geum canadense,2010,153,craine_2010
Glandularia bipinnatifida,2010,116,craine_2010
Glandularia canadensis,2010,119,craine_2010
Glyceria striata,2010,137,craine_2010
Glycyrrhiza lepidota,2010,166,craine_2010
Grindelia squarrosa,2010,202,craine_2010
Hackelia virginiana,2010,179,craine_2010
Hedeoma hispida,2010,130,craine_2010
Helianthus annuus,2010,181,craine_2010
Helianthus hirsutus,2010,175,craine_2010
Helianthus maximiliani,2010,222,craine_2010
Helianthus pauciflorus,2010,194,craine_2010
Helianthus tuberosus,2010,190,craine_2010
Heliopsis helianthoides,2010,160,craine_2010
Hesperis matronalis,2010,127,craine_2010
Hesperostipa spartea,2010,130,craine_2010
Heteranthera limosa,2010,195,craine_2010
Heterotheca canescens,2010,175,craine_2010
Hibiscus trionum,2010,176,craine_2010
Hieracium longipilum,2010,179,craine_2010
Holosteum umbellatum,2010,89,craine_2010
Hordeum jubatum,2010,154,craine_2010
Hordeum pusillum,2010,124,craine_2010
Houstonia pusilla,2010,94,craine_2010
Humulus lupulus,2010,242,craine_2010
Hybanthus verticillatus,2010,145,craine_2010
Hymenopappus scabiosaeus,2010,118,craine_2010
Hypericum perforatum,2010,154,craine_2010
Ipomoea hederacea,2010,182,craine_2010
Iva annua,2010,232,craine_2010
Juncus torreyi,2010,174,craine_2010
Koeleria macrantha,2010,123,craine_2010
Krigia caespitosa,2010,138,craine_2010
Kummerowia stipulacea,2010,236,craine_2010
Lactuca canadensis,2010,200,craine_2010
Lactuca ludoviciana,2010,193,craine_2010
Lactuca saligna,2010,200,craine_2010
Lactuca serriola,2010,182,craine_2010
Lamium amplexicaule,2010,98,craine_2010
Laportea canadensis,2010,232,craine_2010
Leersia oryzoides,2010,252,craine_2010
Leersia virginica,2010,204,craine_2010
Lepidium densiflorum,2010,116,craine_2010
Lepidium oblongum,2010,106,craine_2010
Lepidium virginicum,2010,126,craine_2010
Leptochloa fusca,2010,260,craine_2010
Lespedeza capitata,2010,223,craine_2010
Lespedeza cuneata,2010,263,craine_2010
Lespedeza stuevei,2010,235,craine_2010
Lespedeza violacea,2010,231,craine_2010
Lespedeza xmanniana,2010,232,craine_2010
Leucospora multifida,2010,200,craine_2010
Liatris aspera,2010,235,craine_2010
Liatris punctata,2010,231,craine_2010
Linum sulcatum,2010,148,craine_2010
Lithospermum incisum,2010,103,craine_2010
Lobelia cardinalis,2010,221,craine_2010
Lobelia siphilitica,2010,221,craine_2010
Lolium perenne,2010,154,craine_2010
Lomatium foeniculaceum,2010,90,craine_2010
Lycopus americanus,2010,197,craine_2010
Lythrum alatum,2010,159,craine_2010
Malvastrum hispidum,2010,203,craine_2010
Medicago lupulina,2010,119,craine_2010
Melilotus officinalis,2010,131,craine_2010
Mentha arvensis,2010,208,craine_2010
Mentzelia oligosperma,2010,182,craine_2010
Microthlaspi perfoliatum,2010,90,craine_2010
Mimosa nuttallii,2010,141,craine_2010
Mimulus glabratus,2010,209,craine_2010
Mirabilis albida,2010,153,craine_2010
Mirabilis linearis,2010,180,craine_2010
Mirabilis nyctaginea,2010,127,craine_2010
Mollugo verticillata,2010,193,craine_2010
Monarda fistulosa,2010,160,craine_2010
Muhlenbergia bushii,2010,242,craine_2010
Muhlenbergia cuspidata,2010,223,craine_2010
Muhlenbergia frondosa,2010,243,craine_2010
Muhlenbergia racemosa,2010,250,craine_2010
Muhlenbergia schreberi,2010,235,craine_2010
Myosotis verna,2010,131,craine_2010
Myosurus minimus,2010,106,craine_2010
Nasturtium officinale,2010,152,craine_2010
Nepeta cataria,2010,169,craine_2010
Nothocalais cuspidata,2010,105,craine_2010
Oenothera biennis,2010,204,craine_2010
Oenothera laciniata,2010,166,craine_2010
Oenothera macrocarpa,2010,125,craine_2010
Oenothera speciosa,2010,142,craine_2010
Oligoneuron rigidum,2010,228,craine_2010
Onosmodium bejariense,2010,139,craine_2010
Ophioglossum engelmannii,2010,116,craine_2010
Orobanche uniflora,2010,119,craine_2010
Oxalis stricta,2010,102,craine_2010
Oxalis violacea,2010,105,craine_2010
Packera plattensis,2010,103,craine_2010
Panicum capillare,2010,200,craine_2010
Panicum dichotomiflorum,2010,251,craine_2010
Panicum obtusum,2010,180,craine_2010
Panicum virgatum,2010,160,craine_2010
Parietaria pensylvanica,2010,161,craine_2010
Pascopyrum smithii,2010,142,craine_2010
Paspalum pubiflorum,2010,172,craine_2010
Pediomelum argophyllum,2010,154,craine_2010
Pediomelum esculentum,2010,123,craine_2010
Pellaea glabella,2010,200,craine_2010
Penstemon cobaea,2010,139,craine_2010
Penstemon grandiflorus,2010,126,craine_2010
Penstemon tubiflorus,2010,160,craine_2010
Penthorum sedoides,2010,176,craine_2010
Phleum pratense,2010,179,craine_2010
Phlox divaricata,2010,102,craine_2010
Phryma leptostachya,2010,165,craine_2010
Phyla lanceolata,2010,179,craine_2010
Physalis hederifolia,2010,161,craine_2010
Physalis pumila,2010,141,craine_2010
Physalis virginiana,2010,176,craine_2010
Phytolacca americana,2010,176,craine_2010
Pilea pumila,2010,221,craine_2010
Plantago aristata,2010,154,craine_2010
Plantago patagonica,2010,130,craine_2010
Plantago rhodosperma,2010,152,craine_2010
Plantago rugelii,2010,111,craine_2010
Plantago virginica,2010,119,craine_2010
Poa pratensis,2010,111,craine_2010
Polygala verticillata,2010,166,craine_2010
Polygonum aviculare,2010,162,craine_2010
Polygonum pensylvanicum,2010,251,craine_2010
Polygonum persicaria,2010,175,craine_2010
Polygonum punctatum,2010,175,craine_2010
Polygonum ramosissimum,2010,204,craine_2010
Polygonum scandens,2010,238,craine_2010
Polygonum tenue,2010,236,craine_2010
Polygonum virginianum,2010,207,craine_2010
Portulaca oleracea,2010,207,craine_2010
Potamogeton nodosus,2010,162,craine_2010
Potentilla arguta,2010,174,craine_2010
Prunella vulgaris,2010,182,craine_2010
Pseudognaphalium obtusifolium,2010,238,craine_2010
Psoralidium tenuiflorum,2010,135.8,craine_2010
Ratibida columnifera,2010,154,craine_2010
Ratibida pinnata,2010,174,craine_2010
Rorippa sinuata,2010,138,craine_2010
Rudbeckia hirta,2010,153,craine_2010
Ruellia humilis,2010,160,craine_2010
Ruellia strepens,2010,152,craine_2010
Rumex altissimus,2010,103,craine_2010
Rumex crispus,2010,117,craine_2010
Sagittaria latifolia,2010,165,craine_2010
Salvia azurea,2010,193,craine_2010
Salvia reflexa,2010,175,craine_2010
Sanicula canadensis,2010,155,craine_2010
Schedonnardus paniculatus,2010,153,craine_2010
Schedonorus phoenix,2010,118,craine_2010
Schizachyrium scoparium,2010,207,craine_2010
Schoenoplectus fluviatilis,2010,162,craine_2010
Schoenoplectus tabernaemontani,2010,160,craine_2010
Scirpus pendulus,2010,137,craine_2010
Scrophularia marilandica,2010,193,craine_2010
Scutellaria parvula,2010,138,craine_2010
Securigera varia,2010,141,craine_2010
Senna marilandica,2010,189,craine_2010
Setaria pumila,2010,166,craine_2010
Setaria viridis,2010,166,craine_2010
Sicyos angulatus,2010,242,craine_2010
Sida spinosa,2010,221,craine_2010
Silene antirrhina,2010,131,craine_2010
Silene stellata,2010,172,craine_2010
Silphium integrifolium,2010,179,craine_2010
Silphium laciniatum,2010,161,craine_2010
Sisyrinchium campestre,2010,103,craine_2010
Solanum carolinense,2010,158,craine_2010
Solanum ptychanthum,2010,238,craine_2010
Solanum rostratum,2010,162,craine_2010
Solidago canadensis,2010,222,craine_2010
Solidago gigantea,2010,204,craine_2010
Solidago missouriensis,2010,195,craine_2010
Solidago petiolaris,2010,257,craine_2010
Solidago speciosa,2010,232,craine_2010
Sonchus asper,2010,176,craine_2010
Sorghastrum nutans,2010,207,craine_2010
Sorghum halepense,2010,244,craine_2010
Spartina pectinata,2010,190,craine_2010
Spermolepis inermis,2010,148,craine_2010
Sphenopholis obtusata,2010,137,craine_2010
Spiranthes cernua,2010,265,craine_2010
Spiranthes vernalis,2010,189,craine_2010
Sporobolus compositus,2010,244,craine_2010
Sporobolus cryptandrus,2010,260,craine_2010
Sporobolus heterolepis,2010,238,craine_2010
Sporobolus neglectus,2010,246,craine_2010
Sporobolus vaginiflorus,2010,265,craine_2010
Stellaria media,2010,118,craine_2010
Stenaria nigricans,2010,161,craine_2010
Stenosiphon linifolius,2010,166,craine_2010
Strophostyles helvola,2010,222,craine_2010
Symphyotrichum divaricatum,2010,260,craine_2010
Symphyotrichum drummondii,2010,244,craine_2010
Symphyotrichum ericoides,2010,243,craine_2010
Symphyotrichum laeve,2010,257,craine_2010
Symphyotrichum lanceolatum,2010,271,craine_2010
Symphyotrichum oblongifolium,2010,260,craine_2010
Symphyotrichum pilosum,2010,257,craine_2010
Symphyotrichum praealtum,2010,274,craine_2010
Symphyotrichum sericeum,2010,243,craine_2010
Taraxacum officinale,2010,92,craine_2010
Teucrium canadense,2010,166,craine_2010
Thlaspi arvense,2010,96,craine_2010
Torilis arvensis,2010,161,craine_2010
Tradescantia bracteata,2010,127,craine_2010
Tragia betonicifolia,2010,154,craine_2010
Tragopogon dubius,2010,138,craine_2010
Tribulus terrestris,2010,166,craine_2010
Tridens flavus,2010,193,craine_2010
Trifolium pratense,2010,161,craine_2010
Trifolium repens,2010,125,craine_2010
Triodanis leptocarpa,2010,152,craine_2010
Triodanis perfoliata,2010,154,craine_2010
Triosteum perfoliatum,2010,139,craine_2010
Tripsacum dactyloides,2010,118,craine_2010
Typha latifolia,2010,160,craine_2010
Urtica dioica,2010,173,craine_2010
Verbascum blattaria,2010,147,craine_2010
Verbascum thapsus,2010,160,craine_2010
Verbena bracteata,2010,158,craine_2010
Verbena hastata,2010,204,craine_2010
Verbena simplex,2010,152,craine_2010
Verbena stricta,2010,152,craine_2010
Verbena urticifolia,2010,172,craine_2010
Verbesina alternifolia,2010,200,craine_2010
Vernonia baldwinii,2010,190,craine_2010
Veronica agrestis,2010,107,craine_2010
Veronica anagallis-aquatica,2010,123,craine_2010
Veronica arvensis,2010,118,craine_2010
Veronica peregrina,2010,118,craine_2010
Vicia americana,2010,109,craine_2010
Vicia villosa,2010,127,craine_2010
Viola bicolor,2010,94,craine_2010
Viola pedatifida,2010,98,craine_2010
Viola sororia,2010,96,craine_2010
Vulpia octoflora,2010,124,craine_2010
Xanthium strumarium,2010,260,craine_2010
Zigadenus nuttallii,2010,125,craine_2010
Zizia aurea,2010,119,craine_2010
